title,price,rating,reviews,availability,link,image_url,category
"Swiss Arabian Layali - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",$23.00,4.2 out of 5 stars,"6,764 ratings",In Stock,https://www.amazon.com/SWISS-ARABIAN-Layali-Addictive-Fragrance/dp/B076CQLF5Z/ref=sr_1_1?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-1,https://m.media-amazon.com/images/I/411QjZ0WSSL._SX300_SY300_QL70_ML2_.jpg,perfume
"Pacifica Beauty, Island Vanilla Hair Perfume & Body Mist, Best Warm Vanilla Scent, Natural + Essential Oils, Alcohol Free, 100% Vegan and Cruelty Free, Clean Fragrance",$8.40,4.2 out of 5 stars,"15,163 ratings",In Stock,https://www.amazon.com/Pacifica-Beauty-Island-Vanilla-Perfumed/dp/B072KXYGT2/ref=sr_1_2?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-2,https://m.media-amazon.com/images/I/31kHwyxY3uL._SX300_SY300_QL70_ML2_.jpg,perfume
"HUIBAO Gold Arabian Concentrated Perfume Oil, Arabic Perfume for Women, Arabian Perfume Oil- Long Lasting A Seductive Perfume Oil (12ml)",$18.88,4.0 out of 5 stars,73 ratings,Only 9 left in stock - order soon,https://www.amazon.com/HUIBAO-Arabian-Concentrated-Perfume-Seductive/dp/B0C77X1888/ref=sr_1_3?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-3,https://m.media-amazon.com/images/I/51yODTVPdRL._SX300_SY300_QL70_ML2_.jpg,perfume
Pure Instinct CRAVE Roll-On The Original Pheromone Infused Essential Oil Perfume Cologne – For Her - TSA Ready 0.34 fl oz,$17.95,4.0 out of 5 stars,"13,447 ratings",In Stock,https://www.amazon.com/Pure-Instinct-Original-Pheromone-Essential/dp/B096LB7G9L/ref=sr_1_4?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-4,https://m.media-amazon.com/images/I/3194gfckRAL._SX300_SY300_QL70_ML2_.jpg,perfume
"Vingtank 2Pcs Pheromone Perfume for Women,Long Lasting Pheromone Perfume,Pheromone Unisex Perfume Oil Roll On",$18.90,3.1 out of 5 stars,19 ratings,In Stock,https://www.amazon.com/Vingtank-Pheromone-Perfume-Lasting-Unisex/dp/B0BZV13MTV/ref=sr_1_5?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-5,https://m.media-amazon.com/images/I/41tc5jSZ-NL._SX300_SY300_QL70_ML2_.jpg,perfume
"2pc Lunex Ferro Perfume, Ferromont Roll-on Perfume for Women, P_h_e romone Perfume for Women, Ferromont Perfume Oil, Travel Perfume Long Wear, Perfume for Men and Women (Miss)",$17.99,2.8 out of 5 stars,9 ratings,In Stock,https://www.amazon.com/Lunex-Perfume-Ferromont-romone-Travel/dp/B0C85268M6/ref=sr_1_6?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-6,https://m.media-amazon.com/images/I/41pkziPag4L._SX300_SY300_QL70_ML2_.jpg,perfume
"PIRETTE Mini Fragrance Oil, Women’s Beach Inspired Perfume Oil, Notes of Fresh Coconut, Surf Wax & Sunscreen, 0.25 Fl Oz",$28.00,4.3 out of 5 stars,616 ratings,In Stock,https://www.amazon.com/PIRETTE-Fragrance-Inspired-Perfume-Sunscreen/dp/B0BJRWF73Y/ref=sr_1_7?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-7,https://m.media-amazon.com/images/I/31PY6qxP6oL._SX300_SY300_QL70_ML2_.jpg,perfume
"2Pcs Lunex Phero Perfume, Verola Perfume for Women, Phero Perfume for Women, Portable Perfume Long Lasting Female",$16.99,3.3 out of 5 stars,80 ratings,In Stock,https://www.amazon.com/Perfume-Verola-Portable-Lasting-Female/dp/B0BWXMW5JK/ref=sr_1_8?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-8,https://m.media-amazon.com/images/I/41xhxt9HFyL._SX300_SY300_QL70_ML2_.jpg,perfume
Pure Instinct Pheromone Perfume Oil for Her - Roll on 10.2 ml | 0.34 Fl. Oz,$17.95,3.9 out of 5 stars,"2,228 ratings",Not Available,https://www.amazon.com/Instinct-Pheromone-Infused-Perfume-Roll/dp/B07G7FF2WC/ref=sr_1_9?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-9,https://m.media-amazon.com/images/I/41SU8tZ65HL._SX300_SY300_QL70_ML2_.jpg,perfume
Bath and Body Works CHAMPAGNE TOAST Fine Fragrance Mist - NEW LOOKS 2022 - PACK OF 2 ( FULL SIZE MIST 8FL OZ / 236 ML ),$33.42,5.0 out of 5 stars,6 ratings,Only 5 left in stock - order soon,https://www.amazon.com/Bath-Body-Works-CHAMPAGNE-Fragrance/dp/B09XT4QB6P/ref=sr_1_10?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-10,https://m.media-amazon.com/images/I/41FMAVGSVIL._SX300_SY300_QL70_ML2_.jpg,perfume
"MAITING Gold Concentrated Perfume Oil, Arabian Perfume for Women, Long Lasting Oil Perfume (35ml)",$14.99,Previous page of related Sponsored Products,,,https://www.amazon.com/MAITING-Concentrated-Perfume-Arabian-Lasting/dp/B0C53D1DP2/ref=sr_1_11?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-11,https://m.media-amazon.com/images/I/41W2Fdnp2IL._SX300_SY300_QL70_ML2_.jpg,perfume
"Gold Concentrated Perfume Oil, Long Lasting A Seductive Perfume for Women, Arabian Perfume for Women Travel (35 ML)",$9.99,1.8 out of 5 stars,27 ratings,,https://www.amazon.com/Concentrated-Perfume-Lasting-Seductive-Arabian/dp/B0C3TS4Y47/ref=sr_1_12?keywords=perfume&qid=1689050716&s=beauty-intl-ship&sr=1-12,https://m.media-amazon.com/images/I/41rdr8A9VQL._SX300_SY300_QL70_ML2_.jpg,perfume
"ROSARDEN Travel Mini perfume Refillable Atomizer Container, Portable, Travel Size, Scent Pump Case, Fragrance Empty spray bottle for Traveling and Outgoing 5ml (2Pcs)",$5.99,4.3 out of 5 stars,"3,827 ratings",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDE3OTUwMDgzNjQ5ODo6MDo6&url=%2FRefillable-Atomizer-Container-Fragrance-Traveling%2Fdp%2FB09NXVJ25C%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA3UD1HW83573WA,https://m.media-amazon.com/images/I/51kfbGJZM4L.__AC_SX300_SY300_QL70_ML2_.jpg,perfume
"Duradry AM Deodorant & Antiperspirant - Prescription Strength Deodorant for Hyperhidrosis, Antiperspirant for Women & Men, Armpit Sweat Protection, Silicone-free - Barca, 2.3 Oz (Pack of 3)",$34.99,3.9 out of 5 stars,"2,126 ratings",In Stock,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Mjc2ODQ0MTA4MjkyODg4OjE2ODkwNTA3MTY6c3BfbXRmOjIwMDA2NzU2NTY3MjA5ODo6MDo6&url=%2FDuradry-Antiperspirant-Deodorant-Prescription-Prevention%2Fdp%2FB094DSYCVR%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dperfume%26qid%3D1689050716%26s%3Dbeauty-intl-ship%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41rGddfotfL._SX300_SY300_QL70_ML2_.jpg,perfume
